id,施設名,住所,担当者名,担当者メール,担当者電話,席数規模,月額想定単価,ステータス,初回接触日,次回アクション日,次回アクション内容,備考
1,INNOBASE（イノベース）,埼玉県さいたま市大宮区錦町682-2 JACK大宮,,,,100席以上,80000,未接触,,,初回メール送付,NTTアーバンソリューションズ運営・大型施設・最優先
2,BIZ SMART さいたま新都心,埼玉県さいたま市大宮区吉敷町1-130 KDX さいたまビル,,,,50席以上,50000,未接触,,,初回メール送付,三菱地所系チェーン・法人営業窓口あり
3,コワーキングスペース7F,埼玉県さいたま市大宮区桜木町1-185-1,,,,30〜50席,40000,未接触,,,初回メール送付,地域密着・認知度高・大宮の有名コワーキング
4,いいオフィス 大宮,埼玉県さいたま市大宮区,,,,20〜40席,35000,未接触,,,初回メール送付,全国チェーン・本部経由で一括提案も可
5,fabbit 大宮,埼玉県さいたま市大宮区,,,,30〜50席,40000,未接触,,,初回メール送付,全国チェーン・スタートアップ向け
6,basis point 大宮,埼玉県さいたま市大宮区,,,,40〜60席,45000,未接触,,,初回メール送付,全国チェーン・ビジネスパーソン層
7,大宮マルイ内コワーキング,埼玉県さいたま市大宮区桜木町1-1-1,,,,20〜30席,30000,未接触,,,調査・施設確認,商業施設内・集客力高
8,さいたま市産業創造財団（SAITEC）,埼玉県さいたま市中央区新都心2-1,,,,30〜50席,40000,未接触,,,初回メール送付,行政系・信頼性高・コワーキングスペース提供
9,WITH HARAJUKU COWORKING（与野近辺調査中）,埼玉県さいたま市中央区与野,,,,調査中,調査中,未接触,,,現地調査,与野エリアは施設情報追加調査が必要
10,WeWork 渋谷スクランブルスクエア,東京都渋谷区渋谷2-24-12,,,,300席以上,150000,未接触,,,本部への法人営業アプローチ,東京優先A・複数拠点展開でインパクト大
11,WeWork 丸の内北口,東京都千代田区丸の内2-4-1,,,,200席以上,120000,未接触,,,本部への法人営業アプローチ,WeWork本部経由で全拠点一括提案
12,SPACES 新宿,東京都新宿区西新宿1-25-1,,,,150席以上,100000,未接触,,,初回メール送付,IWG系チェーン・国際系ビジネスパーソン多
13,いいオフィス 池袋,東京都豊島区南池袋,,,,30〜50席,40000,未接触,,,初回メール送付,埼玉アクセス良・池袋経由利用者多
14,BIZ SMART 池袋,東京都豊島区西池袋,,,,50〜80席,55000,未接触,,,初回メール送付,三菱地所系・埼玉〜東京ルート上
15,fabbit 秋葉原,東京都千代田区外神田,,,,40〜60席,45000,未接触,,,初回メール送付,IT系エンジニア・フリーランス層多
